ipa,anio,clase,clase_predicha,acierto,no3_mgl,prob_normal,prob_riesgo,prob_afectada
241160069,2017,normal,normal,1,4.3,0.99675035,0.0013841682,0.0018654657
210980012,2017,normal,normal,1,8.9,0.99534166,0.0027068562,0.0019514669
221030027,2019,afectada,afectada,1,73.0,0.0006824015,0.0064675207,0.99285007
211040003,2023,afectada,afectada,1,79.0,0.0034639346,0.002093035,0.994443
221030027,2019,riesgo,afectada,0,28.7,4.7368532e-05,7.5147334e-05,0.99987745
241160255,2023,riesgo,riesgo,1,32.8,0.006767629,0.84610057,0.14713179
241150030,2015,normal,normal,1,4.0,0.98402435,0.008566907,0.0074087675
211040588,2024,riesgo,afectada,0,32.1,0.0018576361,0.0104129845,0.9877294
210980017,2019,afectada,afectada,1,116.0,0.0003026853,0.00027061574,0.9994267
221060002,2019,afectada,afectada,1,48.1,0.036119178,0.076259755,0.8876211
231030063,2025,afectada,afectada,1,126.9,0.0011065935,0.00091486634,0.9979785
211020002,2021,afectada,afectada,1,110.0,0.0010556557,0.00025270114,0.9986916
221040004,2016,afectada,afectada,1,117.0,3.6650064e-05,0.00027067252,0.9996927
231030063,2023,afectada,afectada,1,149.0,0.00038680297,0.00250868,0.99710447
211030763,2018,normal,normal,1,13.3,0.9816072,0.01302476,0.0053680227
211040588,2020,afectada,afectada,1,51.0,0.00021920328,0.0035337156,0.9962471
231070139,2015,afectada,afectada,1,247.0,1.8526749e-05,2.6671702e-05,0.9999548
231240007,2023,normal,normal,1,2.5,0.99876404,0.00070951984,0.000526467
221030027,2016,afectada,afectada,1,201.0,0.007065152,0.12622504,0.8667098
221020012,2023,afectada,afectada,1,45.4,0.01575023,0.01155663,0.97269315
211040587,2021,afectada,afectada,1,99.0,0.00051726436,0.0015557323,0.99792695
231050020,2024,afectada,afectada,1,42.3,0.0014474177,0.0021684747,0.99638414
210960027,2025,afectada,normal,0,38.7,0.8976292,0.058049746,0.044321
231240007,2021,normal,normal,1,2.5,0.99959666,0.00017140243,0.00023195082
231020105,2015,normal,normal,1,14.5,0.9942855,0.0013081763,0.00440635
241150028,2016,normal,normal,1,3.4,0.9701387,0.0029542416,0.026907016
251160078,2021,normal,riesgo,0,15.0,0.0008478904,0.9936056,0.005546444
231070081,2017,afectada,afectada,1,102.0,3.938393e-05,0.0024332164,0.9975274
251150055,2023,normal,normal,1,7.9,0.9942719,0.004751827,0.00097627187
251150055,2025,normal,normal,1,10.8,0.99846727,0.00081521005,0.0007174926
221030030,2015,afectada,afectada,1,115.0,0.00011882771,0.018285234,0.98159593
241230015,2023,normal,normal,1,13.5,0.9984394,0.00066998904,0.000890609
220950084,2020,afectada,afectada,1,53.0,0.005054021,0.0021083148,0.9928377
231010130,2015,afectada,afectada,1,112.0,0.0001001591,6.6572255e-05,0.9998332
231070081,2020,afectada,afectada,1,142.0,0.00040607248,0.00016960665,0.99942434
211040003,2021,afectada,afectada,1,81.0,0.00040456365,0.00024393435,0.99935144
221120045,2022,normal,riesgo,0,19.0,0.10019269,0.89646995,0.003337427
210970015,2021,normal,normal,1,10.0,0.6869956,0.24957693,0.06342744
231020155,2019,riesgo,afectada,0,31.0,0.019222697,0.4743607,0.5064166
241120074,2019,riesgo,afectada,0,35.0,0.12329977,0.1920786,0.6846216
221020024,2023,riesgo,riesgo,1,34.2,0.004994647,0.74572563,0.24927974
241120074,2020,afectada,afectada,1,39.0,0.018443512,0.3721517,0.6094048
221210013,2015,normal,normal,1,1.3,0.9991111,0.00016345379,0.00072545564
231070081,2019,afectada,afectada,1,115.6,4.4651864e-05,0.00029816935,0.99965715
220950053,2020,afectada,afectada,1,84.7,5.2682644e-05,4.425552e-05,0.9999031
241220031,2025,normal,normal,1,5.7,0.9990308,0.00088799594,8.118437e-05
211020002,2017,afectada,afectada,1,106.0,0.0011015211,0.00014366084,0.99875486
231020105,2022,normal,normal,1,5.0,0.9983872,0.0009016176,0.0007111263
231030091,2022,afectada,afectada,1,74.0,0.0007775704,0.00077588006,0.9984465
231080029,2019,afectada,afectada,1,65.0,0.00026035082,0.00023702046,0.99950266
210940011,2025,normal,normal,1,2.5,0.969218,0.00525957,0.025522478
241150187,2015,normal,normal,1,13.1,0.9830547,0.00057601405,0.016369374
221120045,2015,afectada,afectada,1,63.6,0.0047423234,0.055700228,0.9395574
231050145,2015,riesgo,riesgo,1,27.8,0.096110314,0.871509,0.032380655
231080029,2020,afectada,afectada,1,63.0,0.0011334986,0.000526881,0.99833965
231030090,2018,afectada,afectada,1,43.6,0.3490049,0.0887223,0.56227285
210980248,2025,afectada,afectada,1,152.3,0.0006216105,0.000117159725,0.9992612
231070139,2025,afectada,afectada,1,108.2,0.00011869347,0.00016172328,0.99971956
241050067,2020,normal,normal,1,19.0,0.9966659,0.0020303682,0.0013036944
210980012,2017,normal,normal,1,11.9,0.9974228,0.0006333816,0.0019438332
241060011,2025,normal,normal,1,0.5,0.9997284,0.0001324238,0.00013922554
231080029,2017,afectada,afectada,1,59.5,0.00086089195,0.0005682459,0.9985708
221020012,2021,riesgo,riesgo,1,25.0,0.012538848,0.9853976,0.002063586
210980017,2016,afectada,afectada,1,118.0,0.00020757799,3.6638117e-05,0.9997558
210980206,2021,normal,riesgo,0,20.0,0.00041819166,0.8021255,0.1974563
241150187,2016,normal,normal,1,12.8,0.9996964,2.414602e-05,0.00027952756
210980020,2020,afectada,afectada,1,54.0,0.00023523427,0.000108687076,0.9996561
231030088,2024,normal,normal,1,11.3,0.99949765,6.3690386e-05,0.00043869045
221120045,2021,normal,riesgo,0,24.0,0.08739848,0.6520928,0.26050875
231050145,2025,normal,normal,1,22.5,0.93734187,0.05959917,0.0030589553
241160069,2016,normal,normal,1,4.53,0.9629319,0.00022918677,0.03683889
211030763,2023,normal,normal,1,10.0,0.99917835,0.00011423234,0.0007073396
221130009,2016,normal,normal,1,1.91,0.9986488,0.0008372131,0.0005139507
241160207,2016,normal,normal,1,0.1,0.9990797,0.00016883483,0.0007514953
220950053,2016,afectada,afectada,1,108.0,0.0011636724,0.0009848609,0.9978515
241130002,2025,normal,normal,1,24.5,0.9987931,0.0010602854,0.00014656056
221030027,2015,afectada,afectada,1,230.0,0.00033083602,0.0036763435,0.9959928
221020012,2015,riesgo,riesgo,1,34.2,0.0013551031,0.99440646,0.0042384085
241160189,2016,normal,normal,1,3.42,0.99850106,6.7793015e-05,0.0014311852
210980206,2023,riesgo,riesgo,1,29.9,0.004824191,0.9890322,0.006143644
241220031,2023,normal,normal,1,5.6,0.9998338,5.9746715e-05,0.00010638009
241160146,2024,normal,normal,1,4.3,0.9963082,0.0035776065,0.00011418502
220950053,2021,afectada,afectada,1,73.0,0.000202369,8.078515e-05,0.9997168
