id_registro,ipa,anio,fecha,lat,lon
792,241050045,2020,2020-09-22,42.41094401577004,-2.124180409311197
318,211020172,2024,2024-06-17,42.49773617229687,-3.024571281533477
718,231070139,2016,2016-11-09,42.37434062331717,-2.305143313471492
878,241060011,2025,2025-03-11,42.35852858896853,-2.039737837301822
882,231080029,2025,2025-03-17,42.34012359735669,-2.236677130498064
246,211030763,2021,2021-05-10,42.46152264878249,-2.946701691271199
406,221120045,2019,2019-12-10,42.33259119313079,-2.75745581408348
201,220950053,2020,2020-03-10,42.54060232582512,-2.839501585761097
741,231030090,2017,2017-11-20,42.442190133813,-2.309379310744986
988,241160189,2019,2019-06-26,42.21932036218588,-2.079143885647088
532,221040043,2015,2015-05-07,42.43326316274595,-2.551921968548726
273,210980214,2022,2022-05-10,42.54503266880595,-2.903224018219865
450,221060002,2016,2016-05-30,42.40751445876387,-2.730018575484473
287,210980114,2023,2023-05-25,42.57710495472772,-2.886529122493577
115,220950053,2017,2017-03-21,42.54060232582512,-2.839501585761097
680,221020024,2025,2025-12-02,42.48525438667438,-2.704667984549614
900,231050145,2025,2025-05-29,42.39815846024035,-2.450628218238585
1033,241120074,2023,2023-05-16,42.3178327509466,-2.093120484180144
752,231030091,2018,2018-05-01,42.45121323934095,-2.350846278699278
422,221230018,2023,2023-09-14,42.154880847696,-2.684058394764005
596,221030030,2019,2019-12-10,42.49998090229199,-2.675401793280718
1169,251150038,2025,2025-11-06,42.22899109672695,-1.842373738168444
238,210980020,2021,2021-05-06,42.54661934709923,-2.916801726658035
956,241120074,2017,2017-06-08,42.3178327509466,-2.093120484180144
22,211020002,2020,2020-03-10,42.48939256639613,-3.088026260368538
12,211020002,2017,2017-09-05,42.48939256639613,-3.088026260368538
1141,241270004,2025,2025-02-26,42.04430982590524,-1.95414032205281
140,220950053,2017,2017-12-12,42.54060232582512,-2.839501585761097
587,221020024,2019,2019-06-12,42.48525438667438,-2.704667984549614
935,241120074,2016,2016-05-31,42.3178327509466,-2.093120484180144
982,241160181,2019,2019-06-26,42.18323069317582,-2.046960413913648
60,210940011,2015,2015-07-27,42.62438946518425,-2.891150430496759
436,221130009,2025,2025-06-02,42.2589749662404,-2.652562493905789
92,210980017,2016,2016-05-11,42.52013902296586,-2.873861339000644
951,241150028,2016,2016-11-17,42.2128801641593,-2.163703563058253
324,210980206,2024,2024-06-19,42.56478511289075,-2.877816206923574
526,221020012,2025,2025-11-13,42.4520873303707,-2.712436749582759
864,231080029,2023,2023-10-26,42.34012359735669,-2.236677130498064
773,231020159,2019,2019-11-27,42.46012571289091,-2.381173063984522
387,210940011,2025,2025-12-17,42.62438946518425,-2.891150430496759
542,221030027,2015,2015-12-03,42.48842278081459,-2.632459139593939
941,241160207,2016,2016-06-27,42.20596423783692,-2.069113920588713
465,211040588,2018,2018-11-19,42.45931602558262,-2.885100086887117
263,211040003,2021,2021-11-16,42.49441709454535,-2.881190331023289
1110,241070099,2022,2022-11-30,42.35333421918831,-1.996858667381771
414,221210014,2021,2021-09-01,42.1642294595319,-2.785301864323583
879,231030090,2025,2025-03-17,42.442190133813,-2.309379310744986
309,211040587,2023,2023-12-13,42.45977922466297,-2.909558370814552
979,241160181,2018,2018-05-23,42.18323069317582,-2.046960413913648
736,241050045,2017,2017-06-05,42.41094401577004,-2.124180409311197
537,231050020,2015,2015-07-28,42.36852778683664,-2.514283427313711
151,210960027,2018,2018-05-08,42.50475520912932,-3.043305794074483
342,211030763,2025,2025-02-27,42.46152264878249,-2.946701691271199
96,220950053,2016,2016-06-07,42.54060232582512,-2.839501585761097
303,210970015,2023,2023-12-11,42.54901707900289,-2.952120489507344
649,231010130,2024,2024-06-12,42.4869727570159,-2.487073312993152
471,211040588,2019,2019-11-28,42.45931602558262,-2.885100086887117
376,210980012,2025,2025-12-12,42.51755526112446,-2.926652431349929
625,221080061,2022,2022-05-02,42.40953540715909,-2.536814660169909
20,211020002,2019,2019-09-10,42.48939256639613,-3.088026260368538
59,220950053,2015,2015-06-02,42.54060232582512,-2.839501585761097
728,231030063,2017,2017-05-16,42.42130272356113,-2.307444977157672
653,221040043,2024,2024-06-12,42.43326316274595,-2.551921968548726
1124,241130002,2023,2023-10-25,42.32652537284356,-1.955728388461578
508,221020012,2023,2023-12-13,42.4520873303707,-2.712436749582759
107,211040003,2016,2016-11-07,42.49441709454535,-2.881190331023289
283,211040524,2022,2022-05-11,42.4985043476302,-2.856355443600365
776,231030088,2019,2019-12-10,42.44787000248758,-2.283962725608765
1068,241160146,2025,2025-05-07,42.20236216922945,-2.02472415766982
949,241160255,2016,2016-11-17,42.22076103574621,-2.048213668948267
168,211020172,2019,2019-06-24,42.49773617229687,-3.024571281533477
661,221080061,2025,2025-03-18,42.40953540715909,-2.536814660169909
824,241050067,2021,2021-11-18,42.41397551052157,-2.152468483233016
750,231050145,2018,2018-05-01,42.39815846024035,-2.450628218238585
910,231050145,2025,2025-12-02,42.39815846024035,-2.450628218238585
872,231030090,2024,2024-06-11,42.442190133813,-2.309379310744986
492,211040588,2022,2022-05-10,42.45931602558262,-2.885100086887117
485,211040588,2021,2021-05-11,42.45931602558262,-2.885100086887117
973,241160069,2017,2017-10-16,42.21696851168227,-2.021349317116337
138,210980012,2017,2017-10-17,42.51755526112446,-2.926652431349929
597,221030027,2019,2019-12-10,42.48842278081459,-2.632459139593939
311,211040003,2023,2023-12-13,42.49441709454535,-2.881190331023289
585,221030027,2019,2019-06-12,42.48842278081459,-2.632459139593939
1046,241160255,2023,2023-10-24,42.22076103574621,-2.048213668948267
921,241150030,2015,2015-07-23,42.21167337532112,-2.130997340626708
515,211040588,2024,2024-06-19,42.45931602558262,-2.885100086887117
199,210980017,2019,2019-11-28,42.52013902296586,-2.873861339000644
466,221060002,2019,2019-06-12,42.40751445876387,-2.730018575484473
898,231030063,2025,2025-05-29,42.42130272356113,-2.307444977157672
30,211020002,2021,2021-11-16,42.48939256639613,-3.088026260368538
552,221040004,2016,2016-06-07,42.48410494753875,-2.557423996187595
846,231030063,2023,2023-05-15,42.42130272356113,-2.307444977157672
159,211030763,2018,2018-05-09,42.46152264878249,-2.946701691271199
479,211040588,2020,2020-11-03,42.45931602558262,-2.885100086887117
700,231070139,2015,2015-11-03,42.37434062331717,-2.305143313471492
1040,231240007,2023,2023-07-20,42.1051967890556,-2.267210441580483
557,221030027,2016,2016-11-28,42.48842278081459,-2.632459139593939
502,221020012,2023,2023-06-27,42.4520873303707,-2.712436749582759
244,211040587,2021,2021-05-10,42.45977922466297,-2.909558370814552
648,231050020,2024,2024-06-10,42.36852778683664,-2.514283427313711
373,210960027,2025,2025-12-03,42.50475520912932,-3.043305794074483
1016,231240007,2021,2021-07-08,42.1051967890556,-2.267210441580483
694,231020105,2015,2015-07-30,42.44230996430285,-2.429377393870648
936,241150028,2016,2016-06-27,42.2128801641593,-2.163703563058253
1090,251160078,2021,2021-11-10,42.2084901519228,-1.759391141883437
745,231070081,2017,2017-12-19,42.39558171066405,-2.324045570376735
1112,251150055,2023,2023-05-16,42.2494675682009,-1.852787892570041
1149,251150055,2025,2025-03-13,42.2494675682009,-1.852787892570041
543,221030030,2015,2015-12-03,42.49998090229199,-2.675401793280718
1118,241230015,2023,2023-07-19,42.10785037798781,-1.991413298492858
211,220950084,2020,2020-07-15,42.57038980189249,-2.85008635679294
540,231010130,2015,2015-10-26,42.4869727570159,-2.487073312993152
801,231070081,2020,2020-11-05,42.39558171066405,-2.324045570376735
248,211040003,2021,2021-05-11,42.49441709454535,-2.881190331023289
417,221120045,2022,2022-05-11,42.33259119313079,-2.75745581408348
247,210970015,2021,2021-05-10,42.54901707900289,-2.952120489507344
775,231020155,2019,2019-11-27,42.46754330182347,-2.37558966442288
991,241120074,2019,2019-12-10,42.3178327509466,-2.093120484180144
647,221020024,2023,2023-12-13,42.48525438667438,-2.704667984549614
1001,241120074,2020,2020-06-08,42.3178327509466,-2.093120484180144
390,221210013,2015,2015-07-30,42.15664745421986,-2.790931854011985
761,231070081,2019,2019-06-11,42.39558171066405,-2.324045570376735
202,220950053,2020,2020-06-09,42.54060232582512,-2.839501585761097
1062,241220031,2025,2025-03-27,42.16499574779844,-2.025843081913839
11,211020002,2017,2017-06-06,42.48939256639613,-3.088026260368538
829,231020105,2022,2022-04-06,42.44230996430285,-2.429377393870648
838,231030091,2022,2022-05-03,42.45121323934095,-2.350846278699278
767,231080029,2019,2019-06-25,42.34012359735669,-2.236677130498064
370,210940011,2025,2025-06-03,42.62438946518425,-2.891150430496759
918,241150187,2015,2015-05-31,42.20492423360142,-2.132918988910713
388,221120045,2015,2015-06-01,42.33259119313079,-2.75745581408348
683,231050145,2015,2015-05-07,42.39815846024035,-2.450628218238585
802,231080029,2020,2020-11-05,42.34012359735669,-2.236677130498064
754,231030090,2018,2018-05-01,42.442190133813,-2.309379310744986
337,210980248,2025,2025-02-24,42.521971689706,-2.8867750364781
881,231070139,2025,2025-03-17,42.37434062331717,-2.305143313471492
800,241050067,2020,2020-11-05,42.41397551052157,-2.152468483233016
128,210980012,2017,2017-05-15,42.51755526112446,-2.926652431349929
891,241060011,2025,2025-05-06,42.35852858896853,-2.039737837301822
729,231080029,2017,2017-05-16,42.34012359735669,-2.236677130498064
489,221020012,2021,2021-11-16,42.4520873303707,-2.712436749582759
100,210980017,2016,2016-11-07,42.52013902296586,-2.873861339000644
240,210980206,2021,2021-05-06,42.56478511289075,-2.877816206923574
945,241150187,2016,2016-11-14,42.20492423360142,-2.132918988910713
212,210980020,2020,2020-07-15,42.54661934709923,-2.916801726658035
871,231030088,2024,2024-06-11,42.44787000248758,-2.283962725608765
409,221120045,2021,2021-05-11,42.33259119313079,-2.75745581408348
887,231050145,2025,2025-03-20,42.39815846024035,-2.450628218238585
950,241160069,2016,2016-11-17,42.21696851168227,-2.021349317116337
296,211030763,2023,2023-06-27,42.46152264878249,-2.946701691271199
396,221130009,2016,2016-04-11,42.2589749662404,-2.652562493905789
947,241160207,2016,2016-11-17,42.20596423783692,-2.069113920588713
79,220950053,2016,2016-03-08,42.54060232582512,-2.839501585761097
1166,241130002,2025,2025-10-09,42.32652537284356,-1.955728388461578
534,221030027,2015,2015-06-01,42.48842278081459,-2.632459139593939
445,221020012,2015,2015-12-03,42.4520873303707,-2.712436749582759
