,n_features,F1 Macro CV (media),F1 Macro CV (std),F1 Macro Test,F1 Riesgo Test,Accuracy Test
CON zona_vulnerable_nitratos,104.0,0.8167295527887408,0.022753250946624632,0.7916124993981414,0.6046511627906976,0.8382978723404255
SIN zona_vulnerable_nitratos,103.0,0.8084967107414605,0.026091578092430186,0.7953764851822372,0.6206896551724138,0.8382978723404255
