ipa;nombre_punto;fecha;x_utm30;y_utm30;cota;codigo_masa_agua;masa_agua;naturaleza;localidad;municipio;provincia;no3_mgl;red;anio;mes;afectada;en_riesgo;clase;indicativo;nombre;dist_estacion_m;indicativo_clima;nombre_clima;altitud;prec;tmed;anio_clima;mes_clima;precip_7d;precip_15d;precip_30d;temp_media_7d;temp_media_30d;anomalia_temp;evento_extremo_lluvia;latitud;longitud;x_utm30_esp;y_utm30_esp;nombre_punto_esp;municipio_esp;provincia_esp;masa_agua_esp;red_esp;lon_x;lat_x;lat_y;lon_y;soil_cec_0_5cm;soil_cec_15_30cm;soil_cec_5_15cm;soil_clay_0_5cm;soil_clay_15_30cm;soil_clay_5_15cm;soil_phh2o_0_5cm;soil_phh2o_15_30cm;soil_phh2o_5_15cm;soil_sand_0_5cm;soil_sand_15_30cm;soil_sand_5_15cm;soil_silt_0_5cm;soil_silt_15_30cm;soil_silt_5_15cm;soil_soc_0_5cm;soil_soc_15_30cm;soil_soc_5_15cm;soil_wv0033_0_5cm;soil_wv0033_15_30cm;soil_wv0033_5_15cm;soil_wv1500_0_5cm;soil_wv1500_15_30cm;soil_wv1500_5_15cm;clc2012_codigo;clc2012_nombre;clc2012_agricola;clc2018_codigo;clc2018_nombre;clc2018_agricola;cambio_clc_2012_2018;sigpac_uso;sigpac_uso_nombre;sigpac_superficie_m2;sigpac_pendiente_pct;sigpac_coef_regadio;sigpac_es_agricola;dist_sigpac_m;zona_vulnerable_nitratos;altitud_dem_m;ndvi_2015;ndvi_2016;ndvi_2017;ndvi_2018;ndvi_2019;ndvi_2020;ndvi_2021;ndvi_2022;ndvi_2023;ndvi_2024;ndvi_2025;ndvi_media_periodo;ndvi_min_periodo;ndvi_max_periodo;ndvi_cambio_periodo;ndvi_anio_observacion
211020002;MANANTIAL TORMANTOS;2017-03-21;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);106.0;RNIT;2017;3;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;2.6;4.1;2017.0;3.0;0.0;13.199999999999992;34.0;8.385714285714284;5.489999999999999;1.2866071428571426;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2017-06-06;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);106.0;RNIT;2017;6;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.4;8.2;2017.0;6.0;36.0;50.79999999999999;92.8;11.528571428571428;11.276666666666666;-5.525512333965846;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2017-09-05;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);108.0;RNIT;2017;9;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;16.2;2017.0;9.0;31.800000000000004;70.6;77.0;11.914285714285713;15.136666666666663;3.741945288753799;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2017-12-12;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);108.0;RNIT;2017;12;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;8.8;-3.2;2017.0;12.0;8.800000000000006;41.99999999999999;73.4;2.557142857142856;2.936666666666666;-6.831964809384164;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2018-03-13;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);129.0;RNIT;2018;3;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;2.2;2.0;2018.0;3.0;67.8;176.2;253.2;1.914285714285713;0.4133333333333328;-0.813392857142857;True;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2018-06-05;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);122.0;RNIT;2018;6;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;5.2;6.3;2018.0;6.0;47.39999999999999;130.4;157.0;10.114285714285714;8.486666666666666;-7.425512333965845;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2018-09-25;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);119.0;RNIT;2018;9;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;8.4;2018.0;9.0;3.599999999999998;18.599999999999984;51.60000000000001;15.628571428571425;15.056666666666668;-4.0580547112462;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2018-12-11;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);105.0;RNIT;2018;12;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;6.4;2018.0;12.0;0.0;5.799999999999985;68.60000000000001;7.242857142857141;5.3133333333333335;2.768035190615836;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2019-03-12;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);110.0;RNIT;2019;3;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;3.2;6.0;2019.0;3.0;51.0;50.99999999999998;54.20000000000001;3.199999999999998;4.489999999999999;3.186607142857143;True;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2019-06-18;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);111.0;RNIT;2019;6;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;17.0;2019.0;6.0;1.0;30.79999999999997;52.40000000000001;10.157142857142857;8.863333333333333;3.274487666034154;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
