ipa,x_utm30,y_utm30,nombre_punto,municipio,provincia,masa_agua,red,lon_x,lat_x,lat_y,lon_y,soil_cec_0_5cm,soil_cec_15_30cm,soil_cec_5_15cm,soil_clay_0_5cm,soil_clay_15_30cm,soil_clay_5_15cm,soil_phh2o_0_5cm,soil_phh2o_15_30cm,soil_phh2o_5_15cm,soil_sand_0_5cm,soil_sand_15_30cm,soil_sand_5_15cm,soil_silt_0_5cm,soil_silt_15_30cm,soil_silt_5_15cm,soil_soc_0_5cm,soil_soc_15_30cm,soil_soc_5_15cm,soil_wv0033_0_5cm,soil_wv0033_15_30cm,soil_wv0033_5_15cm,soil_wv1500_0_5cm,soil_wv1500_15_30cm,soil_wv1500_5_15cm,clc2012_codigo,clc2012_nombre,clc2012_agricola,clc2018_codigo,clc2018_nombre,clc2018_agricola,cambio_clc_2012_2018,sigpac_uso,sigpac_uso_nombre,sigpac_superficie_m2,sigpac_pendiente_pct,sigpac_coef_regadio,sigpac_es_agricola,dist_sigpac_m,zona_vulnerable_nitratos,altitud_dem_m
211030763,504382,4701022,"Talleres Janda, S.L. POZO 2",BAÑARES,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.946701691271199,42.46152264878249,42.46152264878249,-2.946701691271199,19.400000000000002,15.4,16.2,23.8,26.5,23.8,7.9,7.9,8.0,22.1,20.400000000000002,22.400000000000002,48.6,47.0,48.7,26.6,11.200000000000001,12.700000000000001,0.34,0.332,0.334,0.176,0.187,0.187,211,Tierras labor secano,True,211,Tierras labor secano,True,False,IM,Improductivo,23986.31923743587,0.2,,False,0.0,False,610.9520263671875
211040587,507436,4700831,CAMINO DE BAÑARES,BAÑARES,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.909558370814552,42.45977922466297,42.45977922466297,-2.909558370814552,18.400000000000002,15.200000000000001,16.400000000000002,31.0,31.700000000000003,31.3,8.0,8.1,8.200000000000001,23.6,23.1,23.6,44.7,44.0,44.0,23.200000000000003,10.8,13.5,0.355,0.34,0.343,0.188,0.188,0.188,211,Tierras labor secano,True,211,Tierras labor secano,True,False,CA,Viales,7366.778210459292,0.24,,False,0.0,True,607.009033203125
210960027,496442,4705822,LA FUENTITA,LEIVA,Rioja (La),ALUVIAL DEL TIRÓN,RNIT,-3.043305794074483,42.50475520912932,42.50475520912932,-3.043305794074483,19.1,15.5,17.6,22.0,25.200000000000003,23.400000000000002,7.800000000000001,7.9,8.0,21.700000000000003,21.3,21.700000000000003,49.7,48.0,49.5,25.6,12.0,12.3,0.34400000000000003,0.332,0.34,0.178,0.189,0.188,112,Tejido urbano discontinuo,False,112,Tejido urbano discontinuo,False,False,ZU,Zona urbana,199469.73133932488,0.49,,False,0.0,True,580.7160034179688
211020002,492766,4704119,MANANTIAL TORMANTOS,TORMANTOS,Rioja (La),ALUVIAL DEL TIRÓN,RNIT,-3.088026260368538,42.489392566396134,42.489392566396134,-3.088026260368538,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,Tierras labor secano,True,211,Tierras labor secano,True,False,CA,Viales,208.23028112285357,2.69,,False,0.0,True,616.5142211914062
221060002,522216,4695059,CARRETERA NÁJERA-TRICIO,NÁJERA,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.7300185754844732,42.40751445876387,42.40751445876387,-2.7300185754844732,23.5,17.400000000000002,20.3,20.900000000000002,27.8,24.0,7.800000000000001,7.9,7.9,23.400000000000002,21.900000000000002,22.900000000000002,41.300000000000004,38.900000000000006,39.7,16.8,10.3,10.200000000000001,0.34600000000000003,0.329,0.339,0.161,0.162,0.161,212,Terrenos regados,True,212,Terrenos regados,True,False,TA,Tierra arable,1405.8035614098,3.79,0.0,True,0.0,False,507.4730224609375
221060091,524197,4694062,MANANTIAL DE RIVAS CAIDAS,TRICIO,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.7059865620736723,42.39847633992225,42.39847633992225,-2.7059865620736723,21.0,15.700000000000001,17.5,25.0,29.1,28.1,7.800000000000001,8.0,8.0,21.400000000000002,20.400000000000002,21.3,46.5,41.900000000000006,43.400000000000006,23.6,12.200000000000001,11.4,0.353,0.326,0.342,0.181,0.187,0.187,212,Terrenos regados,True,212,Terrenos regados,True,False,FO,Forestal,8557.011664482998,1.25,0.0,False,0.0,False,560.1270141601562
221120045,519982,4686733,BAJADA AL RÍO DESDE EL CASCO URBANO,BAÑOS DE RÍO TOBÍA,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.75745581408348,42.33259119313079,42.33259119313079,-2.75745581408348,21.5,15.0,16.5,22.1,27.0,22.1,7.800000000000001,7.9,8.0,23.8,21.900000000000002,23.900000000000002,48.400000000000006,44.900000000000006,47.7,22.400000000000002,12.0,11.600000000000001,0.35000000000000003,0.331,0.335,0.155,0.156,0.158,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,MT,Monte bajo / Matorral,632.066906270657,4.91,0.0,False,0.0,False,557.7040405273438
221020087,520122,4703452,FUENTE POZUELOS,SAN ASENSIO,Rioja (La),SIN DEFINIR MASA,RNIT,-2.7551716733643294,42.483157945003434,42.483157945003434,-2.7551716733643294,19.900000000000002,15.600000000000001,18.2,23.6,27.900000000000002,24.6,7.800000000000001,8.1,8.1,24.1,20.8,24.0,43.6,35.6,43.6,21.6,11.4,10.200000000000001,0.335,0.323,0.325,0.162,0.163,0.162,221,Vinedos,True,221,Vinedos,True,False,VI,Vinedo,1184.6965047531785,0.91,0.0,True,0.0,False,570.6119995117188
221020024,524272,4703698,FUENTEFRÍA,CENICERO,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.7046679845496135,42.485254386674384,42.485254386674384,-2.7046679845496135,21.5,15.8,17.3,25.200000000000003,25.8,25.200000000000003,7.0,7.2,7.2,26.400000000000002,25.5,27.8,39.6,39.900000000000006,40.1,28.5,12.200000000000001,12.4,0.34900000000000003,0.338,0.343,0.154,0.154,0.154,311,Bosque frondosas,False,311,Bosque frondosas,False,False,FO,Forestal,1369.96407057589,1.21,0.0,False,0.0,True,443.676025390625
221030031,527852,4703429,FUENTE CARRETERA NAJERA-CENICERO,CENICERO,Rioja (La),SIN DEFINIR MASA,RNIT,-2.6611217399980944,42.48271132080834,42.48271132080834,-2.6611217399980944,20.200000000000003,15.8,17.8,26.400000000000002,28.6,27.0,8.0,8.1,8.200000000000001,21.0,19.900000000000002,21.1,46.6,42.7,45.5,21.200000000000003,9.9,10.0,0.361,0.35000000000000003,0.35100000000000003,0.17500000000000002,0.189,0.189,221,Vinedos,True,221,Vinedos,True,False,MT,Monte bajo / Matorral,2207.1217785626523,1.71,0.0,False,0.0,False,479.4120178222656
